Ticker,Class
a,5
aa,4
aapl,4
abt,4
ace,1
aci,5
acn,4
adbe,5
adi,5
adm,4
adp,4
adsk,0
adt,0
aee,0
aeo,0
aep,4
aes,0
aet,4
afl,5
agn,4
aiv,0
aiz,4
akam,0
all,5
altr,5
amat,5
amd,0
amgn,5
amp,5
amt,2
amzn,4
an,5
anf,0
ann,0
aon,4
apa,5
apc,5
aph,0
apol,0
arg,0
aro,0
ati,5
atvi,5
avb,0
avp,4
avy,5
azo,0
ba,5
bax,4
bbby,5
bby,4
bcr,0
bdx,2
beam,0
ben,4
bhi,4
big,0
biib,5
bks,0
blk,0
bll,5
bms,0
brcm,5
bsx,5
btu,5
bwa,0
bxp,0
ca,0
cab,0
cag,5
cam,5
cat,5
cb,4
cbg,5
cbs,2
cce,5
cci,0
ccl,4
celg,4
cern,5
cf,0
cfn,5
chk,4
chrw,0
ci,5
cinf,0
cl,4
clf,0
clx,0
cmcsa,1
cme,0
cmg,5
cmi,5
cms,0
cnp,5
cnx,5
cog,5
col,0
cop,2
cost,4
cpb,5
crm,0
csc,5
csco,1
csx,4
ctas,0
ctl,4
ctsh,2
ctxs,5
cvs,5
d,4
dal,1
dd,4
de,4
dell,4
df,0
dfs,5
dg,5
dgx,5
dhi,0
dis,5
disca,0
dks,0
dlph,0
dltr,5
dlx,0
dnr,5
do,5
dov,0
dow,5
dps,0
dri,0
dte,5
dtv,5
duk,4
dva,5
dvn,5
ebay,4
ecl,5
ed,4
efx,0
eix,4
el,4
emn,5
emr,4
eog,4
eqt,0
esrx,2
esv,5
etn,4
etr,4
ew,5
exc,4
expd,5
expe,5
expr,0
fast,5
fb,0
fcx,5
fdo,5
fdx,4
fe,5
ffiv,5
fis,5
fisv,5
fl,0
flir,0
flr,5
flws,0
fmc,0
fosl,0
frx,0
fslr,5
fti,0
ftr,4
gas,0
gci,0
gd,4
ges,0
gild,4
gis,5
glw,5
gmcr,0
gme,0
gnw,5
gpc,5
gps,5
grmn,0
gt,5
gww,0
hal,5
har,0
has,5
hcp,0
hd,3
hes,4
hig,1
hog,5
hon,4
hot,5
hp,0
hpq,3
hrb,0
hrl,0
hrs,5
hsp,0
hst,5
hsy,5
hum,4
igt,5
intc,2
intu,5
ip,4
ipg,4
ir,5
irm,0
isrg,0
itw,5
ivz,0
jbl,0
jci,4
jcp,4
jdsu,0
jec,0
jnpr,5
joy,0
jwn,5
k,4
klac,0
kmb,4
kmi,0
kmx,5
ko,1
kr,1
kss,5
ksu,0
l,4
leg,0
len,0
lh,5
life,0
lll,0
lltc,0
lly,5
lm,0
lmt,4
lnc,4
low,4
lrcx,0
lsi,0
luv,5
lyb,4
m,4
ma,0
mac,0
mar,5
mas,0
mat,5
mcd,4
mchp,0
met,3
mhfi,0
mkc,5
mmc,4
mmm,4
mnst,0
mo,4
mon,4
mrk,3
mro,4
msi,5
mu,0
mur,5
mwv,0
myl,5
nbl,5
nbr,5
ndaq,5
ne,5
nem,4
nflx,5
nfx,0
ni,5
nile,0
nke,4
noc,5
nov,5
nrg,0
nsc,4
ntap,5
ntri,0
nu,5
nue,5
nvda,5
nwl,5
oi,0
oke,5
omc,1
orcl,4
orly,5
oxy,4
payx,5
pbi,0
pcar,0
pcg,5
pcl,5
pcln,0
pcp,0
pdco,0
peg,4
pep,3
petm,0
pets,0
pfg,4
pg,3
pgr,5
ph,5
phm,0
pki,0
pld,0
pll,0
pm,1
pnr,0
pnw,0
pom,5
ppg,5
ppl,0
prgo,0
pru,3
psa,0
pwr,0
px,4
pxd,5
qcom,4
qep,5
r,0
rai,2
rdc,0
rhi,0
rht,5
rok,5
rop,0
rost,5
rrc,5
rsh,0
rtn,5
s,4
sbux,4
scg,5
schl,0
sd,5
se,2
see,0
sfly,0
shw,0
sial,0
sjm,5
slb,4
sna,0
sndk,5
sni,5
so,5
spg,0
srcl,5
sre,4
stj,5
stx,5
stz,5
swk,0
swn,5
syk,4
symc,5
t,1
tap,5
tdc,5
te,0
teg,5
tel,0
ter,0
tgt,3
thc,4
tibx,0
tif,5
tjx,4
tmk,0
tmo,4
trip,0
trv,3
tsn,5
tso,0
tss,0
twc,4
twx,1
txn,4
txt,5
tyc,4
ua,0
unh,4
unm,0
unp,5
ups,3
urbn,0
utx,4
v,5
var,5
vfc,4
viab,4
vlo,5
vmc,0
vno,2
vprt,0
vrsn,0
vtr,5
wag,4
wat,0
wec,0
wfm,5
win,0
wlp,1
wm,4
wmb,2
wtw,0
wy,4
wyn,0
wynn,5
x,5
xl,0
xlnx,5
xrx,4
xyl,0
yhoo,5
yum,2
zlc,0
znga,0
